rank,participant_id,mean_feasible_loss,score_std,score_sem,score_median,minimum_run_score,maximum_run_score,mean_time_to_best_minutes,mean_evaluation_count,mean_evaluations_per_second,mean_feasible_fraction,failed_runs,fallback_runs
28,campi,0.3938449077247643,0.18786839375773115,0.059409202463178976,0.42014998013165283,-0.060100753008900054,0.6746892791196427,68.87956754048665,54946.4,3.8156815355171574,0.8069940716704197,0,0
29,littlestronomer,0.41270482377049583,0.13140067384746892,0.041552541543892235,0.41877001302442973,0.15101895458711778,0.639659878501125,236.16018735766414,150942.2,10.481657376031263,0.7128316755999421,0,0
30,hamzahanif2210,0.42033042499825546,0.17448435263904474,0.055176797039939274,0.4269848343963343,0.17321424457241705,0.7521656934427678,209.34624241312343,71935.2,4.9952251872063425,0.617210547889338,0,0
31,esaid,0.4285906152016268,0.053829691177575856,0.017022442986461103,0.4399265847372863,0.3216158221074001,0.5056316567173461,192.36100244522092,137126.0,9.52251408323308,0.6834506425969555,0,0
32,matin,0.451461728244142,0.10625852179506853,0.033601894967506006,0.47620209095585697,0.19271536842056097,0.5974087811642173,199.8649252684911,130286.0,9.047478991448141,0.8963359193210888,0,0
33,polarhippo,0.45787432211051593,0.1583917666406146,0.05008787452022187,0.4158368796401448,0.35257671847732186,0.8990843644580058,229.38290984749793,55679.5,3.8666084335805215,0.6443498596127994,0,0
34,romainm,0.46056357986653884,0.045916754199759005,0.01452015260333405,0.4474764933353416,0.41203701208457183,0.5557958862274582,125.56435237367945,130879.2,9.088676437120654,0.6429283211793132,0,0
35,danielenggaard,0.5027608524691972,0.11686135398526531,0.03695480490446335,0.46661201231726257,0.3826970346275324,0.7196286392422048,114.99686162074406,55458.0,3.851214531125059,0.7113007454263082,0,0
36,kiashenry,0.5184139912811454,0.2973079663770022,0.09401703402640856,0.4266567114149002,0.22082822868687513,1.3072019692740426,206.9707803614934,139272.6,9.671432137164018,0.7999582536916112,0,0
37,thegrifffather,0.5452483904686333,0.4866098849018414,0.15387955682421994,0.42910301451962235,0.16337556522578,1.841445556891564,231.94315865039826,137795.2,9.568705385320989,0.7487755368369905,0,0
38,boundedaccord,0.5723669471594861,0.886658695149701,0.28038609838659445,0.4088942230252025,-0.4473992939164596,2.94769695765116,228.48165290236474,55106.4,3.82679787040451,0.8343256354077717,0,0
39,tintim,0.6344551046027208,0.16168080173383104,0.05112795874010068,0.6632130357280077,0.4071682218227282,0.8445048146267613,175.65642402648928,146203.1,10.152721889115318,0.6689071719295735,0,0
40,cornlover23,0.6426212808786987,0.4821448791306856,0.15246759802395504,0.4578573399387721,0.23365253771545202,1.805088895839138,178.18487029512727,55086.6,3.8254115429373465,0.8377874953358608,0,0
41,marchematics,0.6567067517403181,0.2979238447186603,0.09421179185852926,0.5933877147677622,0.19285579788164722,1.1325649000202287,238.98413586735722,136325.5,9.471836974135638,0.5308960986754874,0,0
42,maxhe,0.7165998987996852,0.32805485305611914,0.10374005331291859,0.5674784927016706,0.4550796306477537,1.507657451598331,238.5672701994578,112683.6,7.8563413199701415,0.7283547098309273,0,0
43,emilh,0.749438458308443,0.4327110355347035,0.13683524409797188,0.5333723542943296,0.43562071423940757,1.5654968516428318,114.17399737914404,55386.9,3.8462738757016965,0.5245495563758757,0,0
44,jiabao,0.7557137716637736,1.0587116187826406,0.3347940100637046,0.4495920279140254,0.16462577547014726,3.7262724246858387,185.34785956303278,123988.6,8.609989326650325,0.7340871357688489,0,0
45,syurenuko,0.8381200392668882,1.162010172480696,0.367459880932411,0.4259221346908393,0.3996966983460265,4.132377252645208,236.8636983605226,131706.8,9.146108243978514,0.7540997498027039,0,0
46,azhang81,0.8609224206868484,1.109810163022164,0.3509527885552816,0.44818840225041134,0.3084151405356791,3.9819614940727046,195.13452012499175,55022.2,3.8209565315783287,0.6557021982470588,0,0
47,abdoul27,0.9003121525375126,0.9326244342998583,0.2949217413913614,0.4179830564293171,0.16021089366746163,2.5930203796275224,214.1335845116774,90346.8,6.274001303492676,0.6431285200944913,0,0
48,ke_yang,0.9281083564192809,0.7483768816422793,0.2366575494203855,0.472568694699186,0.14754770593424013,2.305032129065927,198.8788432351748,55080.8,3.8250198315827006,0.5564461220656558,0,0
49,tricombinator,1.0539114713333482,0.8436275938984432,0.26677846936866484,0.6733610207342677,0.4005859185737144,2.6370594636053113,205.84071257551508,128338.4,8.911735329987351,0.4444611852374699,0,0
50,hangglider5,1.3165713547901656,1.6103546255013963,0.5092388457171882,0.6946789902090122,0.19680252181209262,4.478312385397339,170.61357257008552,55099.5,3.8263118059996257,0.8334866492725939,0,0
51,thelight,1.3795104819628685,1.498326334122354,0.4738123894037103,0.5768522618184341,0.4098758088160072,4.115763652601194,157.48625531077386,55195.3,3.8329764905613217,0.6102039180885209,0,0
52,biszoq,1.4863633718068536,0.7274370628501459,0.23003579730295173,1.6257345606228462,0.4092486123171406,2.4932603093618146,220.53097324927649,165386.6,11.496635173189059,0.48857759782364346,0,0
53,dvolovenko,1.980971249127625,1.926188694453793,0.6091143477740125,0.5940757120032026,0.41859580328586826,4.480464889497519,130.12046063860257,55402.2,3.8473520555768976,0.8518338190007502,0,0
54,thatdaveguy,2.4782684396177195,0.5027847611630891,0.1589945018099131,2.3615446177766364,2.005237729724878,3.7730987630063066,103.10493344902993,52100.4,3.6180486844357924,0.3733650932855705,0,0
55,jnapoles,2.490297476759104,1.8219480907767622,0.5761505745449785,2.3909090204056263,0.5432382156083545,4.483221849299619,138.5710049200058,55282.9,3.8390411185496505,0.7082665965078291,0,0
56,riskywindow,2.7631867965073433,0.32925746162193714,0.10412035153307993,2.7778988403867793,2.2463922198037287,3.393492100642334,157.7578283405304,56369.3,3.9144969469098627,0.56186670815257,0,0
57,lokwenbin,2.9385421279552686,0.5667090371273885,0.17920913279234732,3.0324204764306426,1.9953905422358935,4.021431966215075,124.5115711971124,55535.3,3.8565754388789664,0.5447758770765869,0,0
58,eristic,3.854151408465369,0.7694686677010909,0.24332735780706857,4.132112044768373,2.4637380271001907,4.506899457992678,104.11648176590602,80584.1,5.596334673106718,0.7853241651218184,0,0
59,turabusmani,3.875208047494575,0.34372740747041336,0.10869615018312818,3.9025823541996187,3.1664206152251175,4.457761423994684,130.2507670489947,77547.6,5.619343749789387,0.503740845457239,0,0
60,adityakumar,3.9149900993808187,0.6899598958052705,0.21818447649171094,4.161924118112276,2.8297685649834965,4.556924216936202,120.16221369902294,95792.5,11.046935150529873,0.6053386642309705,0,0
