rank,participant_id,elapsed_minutes,runs_with_value,mean_best_feasible_loss,std_best_feasible_loss,sem_best_feasible_loss,median_best_feasible_loss,minimum_best_feasible_loss,maximum_best_feasible_loss,exact_run_count,sampled_upper_bound_run_count,missing_run_count
15,mindsculptor,30,10,3.9620896100997927,0.7747433556128057,0.24499536058182617,3.9397705793380737,2.896484375,5.1562323570251465,0,10,0
15,mindsculptor,60,10,1.1234007775783539,0.5217691284181512,0.16499788585622455,0.9580691456794739,0.599690854549408,2.1110293865203857,0,10,0
15,mindsculptor,120,10,0.5601995515090359,0.2592332197332297,0.0819767419535913,0.4901408404111862,0.3388454864950966,1.2423230409622192,2,8,0
15,mindsculptor,180,10,0.505489816271659,0.19721992028264568,0.0623664148049999,0.4342638701200485,0.3388454864950966,1.0016079656639372,4,6,0
15,mindsculptor,240,10,0.44516043409862904,0.2248972944324324,0.07111876900159914,0.4061272726099526,0.23936165237133275,1.0016079656639372,10,0,0
16,romainm,15,10,1.0928465485572816,0.4645938736680631,0.14691748277516062,1.0006046295166016,0.5862240195274353,2.1931192874908447,0,10,0
16,romainm,30,10,0.7682788103818894,0.21831662384563835,0.06903777824304454,0.742348700761795,0.46528252959251404,1.1542887687683105,0,10,0
16,romainm,60,10,0.587821273849355,0.19335680331409558,0.06114478995617357,0.5463670890241398,0.40258968781411214,1.0543601512908936,3,7,0
16,romainm,120,10,0.5373622581237532,0.1142907253185932,0.03614190074394279,0.5235371391683353,0.40258968781411214,0.7475867867469788,4,6,0
16,romainm,180,10,0.4699585129041193,0.05081675327169728,0.01606966836333767,0.4694177806377411,0.40258968781411214,0.5334676613819008,7,3,0
16,romainm,240,10,0.45994519758505115,0.048034694684215604,0.01518990419129038,0.4485482399771382,0.40258968781411214,0.5334676613819008,10,0,0
17,aekovalenko,15,10,2.8723909735679625,0.8919529920090006,0.28206030205504073,2.8295007944107056,1.0448073148727417,4.065427303314209,0,10,0
17,aekovalenko,30,10,1.369013398885727,0.62981714038881,0.19916566730426655,1.1464308500289917,0.758132815361023,2.587418794631958,0,10,0
17,aekovalenko,60,10,0.7344213664531708,0.09270648980896282,0.029316366167551063,0.7218506038188934,0.6015970706939697,0.9170169830322266,0,10,0
17,aekovalenko,120,10,0.6422999203205109,0.13082967112425228,0.04137197462833991,0.6029319167137146,0.4880456328392029,0.9170169830322266,0,10,0
17,aekovalenko,180,10,0.5824720741710676,0.13070974782643388,0.04133405155177742,0.5440866507101123,0.4447585642337799,0.8832483887672424,1,9,0
17,aekovalenko,240,10,0.47205683422592226,0.0648492983911802,0.020507148758002237,0.45676714401623314,0.39896411070297105,0.6134371127457338,10,0,0
18,bgkang,15,10,1.4873982548713685,0.7834592051417935,0.24775155420731687,1.1414979100227356,0.9025266766548157,3.147761344909668,0,10,0
18,bgkang,30,10,1.1153496086597443,0.3077899555773057,0.09733173005463316,1.0520806908607483,0.7570849061012268,1.8823528289794922,0,10,0
18,bgkang,60,10,0.5493007868528366,0.09919137803436026,0.031367067883937394,0.5544846057891846,0.3884298503398895,0.6657839417457581,0,10,0
18,bgkang,120,10,0.5149472832679749,0.10164861219648687,0.03214411355360695,0.5123223215341568,0.37320804595947266,0.6489889025688171,0,10,0
18,bgkang,180,10,0.5058974990498634,0.1015877023284979,0.03212485216212441,0.48874425888061523,0.36764979362487793,0.6421321034431458,1,9,0
18,bgkang,240,10,0.5006187000401952,0.10370348205885223,0.03279392045963807,0.4766483539821612,0.36669632539312813,0.6403701993342357,10,0,0
19,dvolovenko,15,10,1.3881873726844787,0.7729049402138525,0.24441400258720425,1.1789791584014893,0.4508678913116455,2.655050754547119,0,10,0
19,dvolovenko,30,10,0.8092274457216263,0.3174058855452401,0.10037255410656741,0.8334580063819885,0.4428548216819763,1.38190758228302,0,10,0
